"id","tmdb_id","imdb_id","title","plot","content_rating_id","viewers_rating","release_year","akas","watchmode_id"
176,"109451",NULL,"Cloudy with a Chance of Meatballs 2","After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",NULL,"6.4",2013,"",""
177,"1923",NULL,"Twin Peaks: Fire Walk with Me","In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate.",NULL,"7.4",1992,"",""
178,"1572",NULL,"Die Hard: With a Vengeance","New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",NULL,"7.3",1995,"",""
184,"991610",NULL,"Invasion","When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Navy recruits must figure out what is the right thing to do.",NULL,"5.0",2024,"",""
284,"7326","tt24053860","The Day of the Jackal"," ",168,NULL,2024,"The Day of the Jackal (2024) ",NULL
285,"8184","tt17526714","The Substance"," ",169,NULL,2024,"The Substance (2024) ",NULL
286,"5892","tt17491088","The Diplomat"," ",170,NULL,2023,"The Diplomat (2023) ",NULL
287,"5133","tt32368345","The Merry Gentlemen"," ",171,NULL,2024,"The Merry Gentlemen (2024) ",NULL
288,"7859","tt13833978","The Lincoln Lawyer"," ",172,NULL,2022,"The Lincoln Lawyer (2022) ",NULL
289,"7798","tt0141842","The Sopranos"," ",173,NULL,1999,"The Sopranos (1999) ",NULL
